,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User,text
31,-0.7351,Thu Jan 04 19:00:09 +0000 2018,0.693,0.307,0.0,1,@BBC,"When a drugs bust goes wrong on the open ocean...it can go very, very wrong. ? ? 

#ScotSquad https://t.co/2EIkCTunch"
32,-0.4019,Thu Jan 04 18:33:03 +0000 2018,0.829,0.171,0.0,1,@BBC,The story of female factory workers at the Ford Dagenham plant who fought for equal pay in 1968. ? ?… https://t.co/093IdArQwQ
33,0.0,Thu Jan 04 18:03:06 +0000 2018,1.0,0.0,0.0,1,@BBC,"Tonight, the @HairyBikers seek out the authentic flavours of Italy. ?? https://t.co/0WTbS2l5Ab

Hairy Bikers' Medit… https://t.co/4AhGUfLCpm"
34,0.4926,Thu Jan 04 17:00:03 +0000 2018,0.825,0.0,0.175,1,@BBC,"'He's better than some adult conductors I've worked with!'

Matthew isn't your average 11-year-old. ?… https://t.co/jjlnXE1hWr"
35,0.2942,Thu Jan 04 16:50:21 +0000 2018,0.872,0.0,0.128,1,@BBC,RT @bbccomedy: HOW do you keep a straight face while filming 'SMELL MY CHEESE!'? ? @davidschneider #AlanPartridge https://t.co/hDrcEIP4b2
36,0.0,Thu Jan 04 16:30:07 +0000 2018,1.0,0.0,0.0,1,@BBC,"The 11,500-year-old remains of an infant girl from Alaska have shed new light on the peopling of the Americas.… https://t.co/51c3x2Vaic"
37,0.0,Thu Jan 04 15:30:07 +0000 2018,1.0,0.0,0.0,1,@BBC,"? @RoyalMintUK has produced new coins to mark 2018's biggest anniversaries, including WW1's end &amp; Frankenstein's fi… https://t.co/Nsmg7Cieip"
38,-0.1027,Thu Jan 04 15:03:03 +0000 2018,0.92,0.08,0.0,1,@BBC,Iceland has become the first country to enforce equal pay for women and men. ? ?? https://t.co/Agn2tCJqH5 https://t.co/DADnlY4CBX
39,0.0,Thu Jan 04 14:30:03 +0000 2018,1.0,0.0,0.0,1,@BBC,"The sauce for @Rick_Stein's coconut prawns is a little on the hot side... but so it should be. ??

Full recipe here… https://t.co/1OqvNHn2Wc"
40,0.0,Thu Jan 04 14:00:11 +0000 2018,1.0,0.0,0.0,1,@BBC,?? 2018 has much to offer at the cinema. Here are 10 must-see flicks to catch this year. ? https://t.co/YsbLytjDdV https://t.co/F2dxX0pwiG
41,0.0,Thu Jan 04 13:57:38 +0000 2018,1.0,0.0,0.0,1,@BBC,RT @bbcthree: Meet the young mum and her Insta-famous daughter with celebral palsy. https://t.co/YLc9GGoXJZ
42,0.0,Thu Jan 04 13:33:04 +0000 2018,1.0,0.0,0.0,1,@BBC,Time to bust a myth. Not all mammals are warm-blooded. ? https://t.co/rv9SD6WpDe https://t.co/4YXfK6ObXd
43,0.0,Thu Jan 04 13:03:04 +0000 2018,1.0,0.0,0.0,1,@BBC,"From a rocket-powered car to the commercial space race, these are the science stories to look forward to this year.… https://t.co/ocfOzY74yp"
44,0.0,Thu Jan 04 12:30:03 +0000 2018,1.0,0.0,0.0,1,@BBC,"Gary Oldman does Winston Churchill doing James Brown.
For the Oscar... ?

#TheGNShow https://t.co/427M4e5JYb"
45,0.0,Thu Jan 04 12:03:03 +0000 2018,1.0,0.0,0.0,1,@BBC,Planning on living forever? Here are seven things you need to know about immortality. ? https://t.co/7g2SCTvk2K https://t.co/IyTy8Oodav
46,-0.5106,Thu Jan 04 11:33:08 +0000 2018,0.845,0.155,0.0,1,@BBC,Andy Murray has pulled out of the Australian Open after failing to recover from an ongoing hip injury.… https://t.co/cCMoS2h31A
47,0.1027,Thu Jan 04 11:28:58 +0000 2018,0.806,0.089,0.105,1,@BBC,RT @bbcsoutheast: This dramatic video was taken at Birling Gap yesterday and appears to show a portion of the cliff collapsing. Credit: @na…
48,0.0,Thu Jan 04 11:23:31 +0000 2018,1.0,0.0,0.0,1,@BBC,"What secrets and stories does the house you live in hold?

@DavidOlusoga investigates the history of one house, fro… https://t.co/KZQeG4WBuS"
49,0.4574,Thu Jan 04 10:30:01 +0000 2018,0.864,0.0,0.136,1,@BBC,RT @BBCNewsround: Do you sound different in space? ??? We asked @astro_timpeake to help answer this week's Big Question! https://t.co/bkzPQ…
50,0.765,Thu Jan 04 10:20:28 +0000 2018,0.72,0.0,0.28,1,@BBC,Oscar-winning actress Cate Blanchett is to chair the jury that will pick the award winners at this year's… https://t.co/4wDk8I7ldL
51,0.0,Thu Jan 04 10:14:10 +0000 2018,1.0,0.0,0.0,1,@BBC,"RT @CBeebiesHQ: We've peaked and it's only 3rd January! ?

@BBCNewsnight finished with @HEYDUGGEE's Stick Song last night.

RT if you've be…"
52,-0.7351,Thu Jan 04 09:46:03 +0000 2018,0.714,0.286,0.0,1,@BBC,"Over eight million people in the UK have an anxiety disorder. If you're struggling, here is some practical advice o… https://t.co/vCrlCmnNQI"
53,0.3612,Thu Jan 04 09:16:07 +0000 2018,0.865,0.0,0.135,1,@BBC,2017 in pictures: these photographs reveal what the past year looked like for the UK. ? https://t.co/why5ck9xKk https://t.co/Y31Sy7A5kC
54,0.4019,Thu Jan 04 08:52:02 +0000 2018,0.881,0.0,0.119,1,@BBC,The last two dancing bears in Nepal have been freed. But what does the future hold for Rangeela and Sridevi? https://t.co/d6H6QnXVlt
55,0.6996,Thu Jan 04 08:41:21 +0000 2018,0.784,0.0,0.216,1,@BBC,RT @BBCRadio2: Those @takethat boys certainly did us proud when they performed live in London over the summer! Re-live their show and perfo…
56,0.0,Thu Jan 04 08:40:48 +0000 2018,1.0,0.0,0.0,1,@BBC,"RT @bbcthesocial: Let's keep the New Year's resolutions realistic, people!

 @MrRossHogg @DuncanCowles https://t.co/iBQd6Yff3y"
57,-0.4939,Thu Jan 04 08:34:33 +0000 2018,0.849,0.151,0.0,1,@BBC,Some precipitating factors for the collapse of Western civilisation are already in place. How the West reacts will… https://t.co/dedxlfGts8
58,0.1901,Thu Jan 04 08:00:03 +0000 2018,0.92,0.0,0.08,1,@BBC,"??? It might already feel like it in some parts of the country, but could an ice age happen again? https://t.co/vPsvkRo39S"
59,0.0,Wed Jan 03 19:27:57 +0000 2018,1.0,0.0,0.0,1,@BBC,"RT @BBCWales: ?? Over-indulged this Christmas? ? ?

? ? ? ? ? 
Sneak snippets of exercise into your daily life! https://t.co/Dvtoe7fsZv"
60,0.5799,Wed Jan 03 19:27:10 +0000 2018,0.791,0.0,0.209,1,@BBC,"RT @BBCRadio3: ""This is just the most romantic, plunging, yearning, extraordinary thing...""
?  Listen now to Stephen Fry's New Year mixtape…"
61,0.0,Wed Jan 03 19:26:35 +0000 2018,1.0,0.0,0.0,1,@BBC,"RT @bbcgetinspired: @BBCR1 DJ @AdeleRoberts has a few January health hacks to get you back on track in 2018.

Borrow a ?! #GetInspired http…"
62,-0.34,Wed Jan 03 19:24:32 +0000 2018,0.833,0.167,0.0,1,@BBC,RT @BBCWorld: Drunk man's New Year's Eve taxi ride through three countries https://t.co/ZYvmYSQdoo
63,-0.0772,Wed Jan 03 19:22:58 +0000 2018,0.727,0.142,0.131,1,@BBC,"RT @bbcasiannetwork: Halal dating, sex, racism and beauty standards - some of the issues up for discussion in a new TV show for Muslim wome…"
64,0.0,Wed Jan 03 19:20:58 +0000 2018,1.0,0.0,0.0,1,@BBC,RT @bbcrb: We've taken a battering in the West! ?? https://t.co/3BtGxV2jx9
65,0.128,Wed Jan 03 19:20:46 +0000 2018,0.824,0.0,0.176,1,@BBC,RT @bbcthree: Feeling opinionated? We need you. https://t.co/1BwHnC97sN
66,-0.5423,Wed Jan 03 19:20:31 +0000 2018,0.873,0.127,0.0,1,@BBC,"RT @BBCOne: If you only knew what you were looking at, you'd see. Organised crime is everywhere. 

Watch the first two episodes of new glob…"
67,0.5411,Wed Jan 03 19:20:24 +0000 2018,0.48,0.16,0.36,1,@BBC,RT @bbccomedy: Best. Disguise. EVER! ? @Scotsquad @BBCScotland https://t.co/k6TsG9ug0Q
68,0.4576,Wed Jan 03 19:00:03 +0000 2018,0.85,0.0,0.15,1,@BBC,This very special 'paper' made from animal remains could be used in fertility treatments and wound healing. https://t.co/EfULoLaqOo
69,0.0,Wed Jan 03 18:24:03 +0000 2018,1.0,0.0,0.0,1,@BBC,"Miriam Margolyes embarks on an epic road trip through middle America. ?? https://t.co/XPQAHMXv07

Miriam's Big Amer… https://t.co/k2janDRDGC"
70,-0.6705,Wed Jan 03 17:57:04 +0000 2018,0.718,0.282,0.0,1,@BBC,"Tonight, @ChefTomKerridge recruits and mentors a group of struggling dieters. Tom Kerridge's Lose Weight For Good.… https://t.co/EpE9YG9o3L"
71,-0.2942,Wed Jan 03 17:30:09 +0000 2018,0.897,0.103,0.0,1,@BBC,"Mr Fish Finger deserves to be remembered!

Here are 9 things that happened in 2017 that you’ve probably forgotten a… https://t.co/kXhHeL2859"
72,0.6486,Wed Jan 03 17:02:01 +0000 2018,0.791,0.0,0.209,1,@BBC,"New year, new start. ? 

@BBCR1 DJ @AdeleRoberts is giving out easy health hacks every day in January so you can st… https://t.co/8fPBaJm8cE"
73,0.0516,Wed Jan 03 15:46:04 +0000 2018,0.938,0.0,0.062,1,@BBC,"JMW Turner's delicate watercolour paintings can only be shown in January, when the sun is at its weakest.… https://t.co/BY17PV59g5"
74,0.0,Wed Jan 03 14:57:03 +0000 2018,1.0,0.0,0.0,1,@BBC,The UK's first polar bear cub in 25 years has been born at a Scottish wildlife park. ? https://t.co/TJG4GnKAFm https://t.co/d3pznlIoL6
75,0.0,Wed Jan 03 14:33:04 +0000 2018,1.0,0.0,0.0,1,@BBC,"UK music fans streamed an astonishing 68.1 billion songs last year. That's 1,036 songs each! ?… https://t.co/qGZA7j3mQk"
