,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User,text
162,0.7569,Mon Dec 18 18:40:55 +0000 2017,0.712,0.0,0.288,2,@CBS,"Mark your calendars! @NCISLA star @LLCoolJ will host MVP: Most Valuable Performer, a new interactive talent show to… https://t.co/s2LilAv50X"
163,0.0,Mon Dec 18 00:42:56 +0000 2017,1.0,0.0,0.0,2,@CBS,"Approximate start times for #CBS tonight (East &amp; Midwest):
#60Minutes 7:38p/6:38c
#WisdomoftheCrowd 8:38p/7:38c… https://t.co/tFKrUBcv8B"
164,0.5093,Mon Dec 18 00:00:40 +0000 2017,0.859,0.0,0.141,2,@CBS,"RT @kencen: Look back on favorite #KCHonors tributes before the Dec. 26 @CBS broadcast! From 2002: @aliciakeys sings ""Bridge Over Troubled…"
165,0.8527,Sun Dec 17 17:48:58 +0000 2017,0.576,0.044,0.38,2,@CBS,"This Friday, you won't want to miss this priceless treasure when the I Love Lucy Christmas Special airs at 8/7c on… https://t.co/oyC9YDno00"
166,0.7798,Sun Dec 17 15:39:38 +0000 2017,0.725,0.0,0.275,2,@CBS,Get ready for football! Stream NFL on CBS today with #CBSAllAccess. Try 1 week FREE (not available on mobile phones… https://t.co/cNMa11dmza
167,0.25,Sat Dec 16 18:29:05 +0000 2017,0.875,0.0,0.125,2,@CBS,RT @HawaiiFive0CBS: Was it all a dream? Catch up on the #H50 Fall Finale: https://t.co/PDeOIaDGqu https://t.co/msEijhSSJH
168,0.1867,Sat Dec 16 12:00:07 +0000 2017,0.92,0.0,0.08,2,@CBS,"In less than a week, Lucy and Ricky will return to your screens... in full color! Don't miss two back-to-back episo… https://t.co/rtmvB5Cj1D"
169,0.5423,Fri Dec 15 20:23:58 +0000 2017,0.857,0.0,0.143,2,@CBS,Do you know all the nominees for Record Of The Year? Get familiar with this year's GRAMMY® Award nominees ahead of… https://t.co/lXDIu1STfq
170,0.6114,Fri Dec 15 14:43:08 +0000 2017,0.8,0.0,0.2,2,@CBS,'Elton John: I'm Still Standing - A GRAMMY® Salute' will celebrate Elton John's legendary career and timeless hits!… https://t.co/6M38jQQpTA
171,0.5106,Thu Dec 14 19:13:25 +0000 2017,0.798,0.0,0.202,2,@CBS,"Get to know 2017 Kennedy Center honorees @LLCoolJ, Carmen de Lavallade (@CarmenDances), @GloriaEstefan,… https://t.co/RGe3zqmY08"
